Category: All categories

Week,bitcoin: (Worldwide)
2010-01-03,2
2010-01-10,0
2010-01-17,0
2010-01-24,2
2010-01-31,0
2010-02-07,0
2010-02-14,2
2010-02-21,4
2010-02-28,2
2010-03-07,2
2010-03-14,4
2010-03-21,4
2010-03-28,2
2010-04-04,2
2010-04-11,2
2010-04-18,6
2010-04-25,2
2010-05-02,0
2010-05-09,2
2010-05-16,0
2010-05-23,18
2010-05-30,7
2010-06-06,11
2010-06-13,2
2010-06-20,4
2010-06-27,9
2010-07-04,2
2010-07-11,100
2010-07-18,35
2010-07-25,19
2010-08-01,21
2010-08-08,13
2010-08-15,21
2010-08-22,18
2010-08-29,19
2010-09-05,10
2010-09-12,23
2010-09-19,30
2010-09-26,18
2010-10-03,15
2010-10-10,19
2010-10-17,26
2010-10-24,11
2010-10-31,7
2010-11-07,27
2010-11-14,31
2010-11-21,32
2010-11-28,31
2010-12-05,46
2010-12-12,85
2010-12-19,72
2010-12-26,61
