Category: All categories

Day,bitcoin: (Worldwide)
2011-06-01,55
2011-06-02,63
2011-06-03,59
2011-06-04,59
2011-06-05,61
2011-06-06,63
2011-06-07,51
2011-06-08,75
2011-06-09,80
2011-06-10,72
2011-06-11,94
2011-06-12,100
2011-06-13,79
2011-06-14,76
2011-06-15,80
2011-06-16,93
2011-06-17,77
2011-06-18,74
2011-06-19,80
2011-06-20,98
2011-06-21,71
2011-06-22,72
2011-06-23,60
2011-06-24,46
2011-06-25,40
2011-06-26,50
2011-06-27,44
2011-06-28,41
2011-06-29,37
2011-06-30,38
2011-07-01,32
2011-07-02,34
2011-07-03,32
2011-07-04,33
2011-07-05,31
2011-07-06,29
2011-07-07,50
2011-07-08,29
2011-07-09,30
2011-07-10,29
2011-07-11,27
2011-07-12,23
2011-07-13,30
2011-07-14,40
2011-07-15,25
2011-07-16,28
2011-07-17,29
2011-07-18,28
2011-07-19,32
2011-07-20,28
2011-07-21,24
2011-07-22,19
2011-07-23,21
2011-07-24,22
2011-07-25,24
2011-07-26,31
2011-07-27,26
2011-07-28,25
2011-07-29,25
2011-07-30,23
2011-07-31,26
2011-08-01,23
2011-08-02,23
2011-08-03,34
2011-08-04,25
2011-08-05,30
2011-08-06,30
2011-08-07,38
2011-08-08,28
2011-08-09,28
2011-08-10,21
2011-08-11,21
2011-08-12,21
2011-08-13,22
2011-08-14,22
2011-08-15,22
2011-08-16,25
2011-08-17,28
2011-08-18,23
2011-08-19,25
2011-08-20,20
2011-08-21,31
2011-08-22,27
2011-08-23,19
2011-08-24,29
2011-08-25,23
2011-08-26,21
2011-08-27,27
2011-08-28,25
2011-08-29,19
2011-08-30,19
2011-08-31,21
2011-09-01,22
2011-09-02,19
2011-09-03,18
2011-09-04,20
2011-09-05,21
2011-09-06,21
2011-09-07,23
2011-09-08,21
2011-09-09,24
2011-09-10,23
2011-09-11,22
2011-09-12,20
2011-09-13,15
2011-09-14,17
2011-09-15,17
2011-09-16,16
2011-09-17,19
2011-09-18,19
2011-09-19,16
2011-09-20,17
2011-09-21,17
2011-09-22,18
2011-09-23,14
2011-09-24,15
2011-09-25,16
2011-09-26,17
2011-09-27,14
2011-09-28,13
2011-09-29,13
2011-09-30,17
2011-10-01,14
2011-10-02,15
2011-10-03,12
2011-10-04,15
2011-10-05,15
2011-10-06,17
2011-10-07,13
2011-10-08,16
2011-10-09,18
2011-10-10,12
2011-10-11,13
2011-10-12,11
2011-10-13,12
2011-10-14,9
2011-10-15,11
2011-10-16,12
2011-10-17,13
2011-10-18,20
2011-10-19,17
2011-10-20,14
2011-10-21,11
2011-10-22,10
2011-10-23,13
2011-10-24,12
2011-10-25,14
2011-10-26,12
2011-10-27,9
2011-10-28,10
2011-10-29,10
2011-10-30,10
2011-10-31,8
2011-11-01,21
2011-11-02,12
2011-11-03,10
2011-11-04,10
2011-11-05,8
2011-11-06,9
2011-11-07,7
2011-11-08,9
2011-11-09,10
2011-11-10,7
2011-11-11,8
2011-11-12,9
2011-11-13,8
2011-11-14,11
2011-11-15,10
2011-11-16,8
2011-11-17,11
2011-11-18,9
2011-11-19,9
2011-11-20,8
2011-11-21,8
2011-11-22,7
2011-11-23,8
2011-11-24,7
2011-11-25,7
2011-11-26,11
2011-11-27,9
2011-11-28,9
2011-11-29,12
2011-11-30,10
2011-12-01,8
2011-12-02,9
2011-12-03,10
2011-12-04,10
2011-12-05,7
2011-12-06,8
2011-12-07,8
2011-12-08,6
2011-12-09,7
2011-12-10,7
2011-12-11,8
2011-12-12,10
2011-12-13,7
2011-12-14,7
2011-12-15,8
2011-12-16,6
2011-12-17,7
2011-12-18,8
2011-12-19,7
2011-12-20,9
2011-12-21,8
2011-12-22,12
2011-12-23,12
2011-12-24,7
2011-12-25,10
2011-12-26,9
2011-12-27,9
2011-12-28,8
2011-12-29,10
2011-12-30,10
2011-12-31,9
2012-01-01,9
