Category: All categories

Day,bitcoin: (Worldwide)
2015-01-01,50
2015-01-02,51
2015-01-03,56
2015-01-04,69
2015-01-05,67
2015-01-06,74
2015-01-07,54
2015-01-08,60
2015-01-09,56
2015-01-10,54
2015-01-11,50
2015-01-12,47
2015-01-13,64
2015-01-14,100
2015-01-15,83
2015-01-16,70
2015-01-17,58
2015-01-18,54
2015-01-19,50
2015-01-20,53
2015-01-21,61
2015-01-22,51
2015-01-23,53
2015-01-24,52
2015-01-25,56
2015-01-26,82
2015-01-27,63
2015-01-28,61
2015-01-29,59
2015-01-30,51
2015-01-31,47
2015-02-01,50
2015-02-02,47
2015-02-03,53
2015-02-04,48
2015-02-05,52
2015-02-06,50
2015-02-07,63
2015-02-08,59
2015-02-09,63
2015-02-10,61
2015-02-11,51
2015-02-12,57
2015-02-13,49
2015-02-14,52
2015-02-15,52
2015-02-16,53
2015-02-17,53
2015-02-18,51
2015-02-19,55
2015-02-20,89
2015-02-21,56
2015-02-22,53
2015-02-23,53
2015-02-24,49
2015-02-25,47
2015-02-26,44
2015-02-27,48
2015-02-28,44
2015-03-01,48
2015-03-02,52
2015-03-03,51
2015-03-04,52
2015-03-05,51
2015-03-06,62
2015-03-07,62
2015-03-08,53
2015-03-09,52
2015-03-10,61
2015-03-11,59
2015-03-12,53
2015-03-13,53
2015-03-14,52
2015-03-15,51
2015-03-16,54
2015-03-17,52
2015-03-18,59
2015-03-19,60
2015-03-20,50
2015-03-21,47
2015-03-22,48
2015-03-23,49
2015-03-24,49
2015-03-25,56
2015-03-26,52
2015-03-27,45
2015-03-28,41
2015-03-29,46
2015-03-30,58
2015-03-31,50
2015-04-01,51
2015-04-02,46
2015-04-03,46
2015-04-04,45
2015-04-05,49
2015-04-06,46
2015-04-07,48
2015-04-08,51
2015-04-09,50
2015-04-10,48
2015-04-11,42
2015-04-12,43
2015-04-13,48
2015-04-14,49
2015-04-15,45
2015-04-16,43
2015-04-17,44
2015-04-18,44
2015-04-19,46
2015-04-20,44
2015-04-21,49
2015-04-22,51
2015-04-23,44
2015-04-24,44
2015-04-25,43
2015-04-26,43
2015-04-27,45
2015-04-28,45
2015-04-29,44
2015-04-30,48
2015-05-01,45
2015-05-02,40
2015-05-03,41
2015-05-04,40
2015-05-05,42
2015-05-06,47
2015-05-07,43
2015-05-08,45
2015-05-09,39
2015-05-10,39
2015-05-11,43
2015-05-12,43
2015-05-13,46
2015-05-14,59
2015-05-15,44
2015-05-16,45
2015-05-17,44
2015-05-18,43
2015-05-19,47
2015-05-20,51
2015-05-21,48
2015-05-22,44
2015-05-23,42
2015-05-24,46
2015-05-25,48
2015-05-26,46
2015-05-27,46
2015-05-28,40
2015-05-29,47
2015-05-30,56
2015-05-31,51
2015-06-01,47
