
Category: All categories

Week,bitcoin: (Worldwide)
2019-01-06,34
2019-01-13,31
2019-01-20,28
2019-01-27,28
2019-02-03,31
2019-02-10,28
2019-02-17,32
2019-02-24,29
2019-03-03,28
2019-03-10,26
2019-03-17,27
2019-03-24,26
2019-03-31,48
2019-04-07,38
2019-04-14,34
2019-04-21,36
2019-04-28,33
2019-05-05,45
2019-05-12,72
2019-05-19,54
2019-05-26,57
2019-06-02,47
2019-06-09,43
2019-06-16,63
2019-06-23,100
2019-06-30,66
2019-07-07,63
2019-07-14,62
2019-07-21,50
2019-07-28,48
2019-08-04,57
2019-08-11,50
2019-08-18,45
2019-08-25,43
2019-09-01,43
2019-09-08,37
2019-09-15,35
2019-09-22,48
2019-09-29,38
2019-10-06,37
2019-10-13,34
2019-10-20,42
2019-10-27,41
2019-11-03,35
2019-11-10,33
2019-11-17,37
2019-11-24,39
2019-12-01,33
2019-12-08,32
2019-12-15,36
2019-12-22,32
2019-12-29,33
